[2026-06-07T02:17:48.403Z] GET https://www.basketball-reference.com/teams/SAS/2026.html → pending (?ms, ?B)
[2026-06-07T02:17:50.724Z] GET https://www.basketball-reference.com/teams/SAS/2026.html → 403 (192ms, 6329B)
[2026-06-07T02:17:50.958Z] GET https://www.basketball-reference.com/cdn-cgi/challenge-platform/h/g/orchestrate/chl_page/v1?ray=a07c29ad3fa72b7e → pending (?ms, ?B)
[2026-06-07T02:17:51.864Z] GET blob:https://www.basketball-reference.com/8ecf4b7c-ea06-4188-9e86-6686e94ff57b → pending (?ms, ?B)
[2026-06-07T02:17:51.869Z] GET https://challenges.cloudflare.com/turnstile/v0/g/8fc8ed1d8752/api.js?onload=NoWu9&render=explicit → pending (?ms, ?B)
[2026-06-07T02:17:51.985Z] POST https://www.basketball-reference.com/cdn-cgi/challenge-platform/h/g/flow/ov1/916187168:1780797622:AE5fjmuq25TpICVYWNwj8fZj_v_C2bIzUdyMZBdB7j0/a07c29ad3fa72b7e/RdAYvOd7dEuiDjsQEDlAxV.9LXZsjIIp8HXrV_1wiv8-1780798670-1.2.1.1-lZwi5oXeqmsrV5_jmH8VXtvYfLIJUfAQP6oHio4lVAvytKqd6IA3GqVeX4pSzCAA → 200 (562ms, ?B)
[2026-06-07T02:17:53.878Z] GET blob:https://www.basketball-reference.com/18cb1e5b-3969-4425-8e25-e2257cbc1d6e → 200 (4ms, 292B)
[2026-06-07T02:17:55.291Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/turnstile/f/ov2/av0/rch/11lcv/0x4AAAAAAADnPIDROrmt1Wwj/light/fbE/new/normal?lang=auto → pending (?ms, ?B)
[2026-06-07T02:17:55.918Z] GET https://www.espn.com/nba/team/stats/_/name/sa/san-antonio-spurs → 200 (610ms, ?B)
[2026-06-07T02:17:56.318Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/cmg/1 → pending (?ms, ?B)
[2026-06-07T02:17:56.533Z] GET https://dcf.espn.com/TWDC-DTCI/prod/Bootstrap.js → pending (?ms, ?B)
[2026-06-07T02:17:56.535Z] GET https://cdn1.espn.net/fitt/43919cae0e28-release-06-02-2026.2.0.4833/client/espnfitt/css/fusion-a01cce68.css → pending (?ms, ?B)
[2026-06-07T02:17:56.535Z] GET https://cdn1.espn.net/fitt/43919cae0e28-release-06-02-2026.2.0.4833/client/espnfitt/css/6185-d8af0775.css → pending (?ms, ?B)
[2026-06-07T02:17:56.535Z] GET https://cdn1.espn.net/fitt/43919cae0e28-release-06-02-2026.2.0.4833/client/espnfitt/css/espnfitt-aac59152.css → pending (?ms, ?B)
[2026-06-07T02:17:56.535Z] GET https://cdn1.espn.net/fitt/43919cae0e28-release-06-02-2026.2.0.4833/client/espnfitt/css/394-f8f14c08.css → pending (?ms, ?B)
[2026-06-07T02:17:56.535Z] GET https://cdn1.espn.net/fitt/43919cae0e28-release-06-02-2026.2.0.4833/client/espnfitt/css/1825-bae7d0ed.css → pending (?ms, ?B)
[2026-06-07T02:17:56.535Z] GET https://cdn1.espn.net/fitt/43919cae0e28-release-06-02-2026.2.0.4833/client/espnfitt/css/3479-14ceef13.css → pending (?ms, ?B)
[2026-06-07T02:17:56.535Z] GET https://cdn1.espn.net/fitt/43919cae0e28-release-06-02-2026.2.0.4833/client/espnfitt/css/team.stats-142b92ad.css → pending (?ms, ?B)
[2026-06-07T02:17:56.535Z] GET https://a.espncdn.com/fonts/_Publico/PublicoBannerExtraboldWeb.woff2 → pending (?ms, ?B)
[2026-06-07T02:17:56.535Z] GET https://a.espncdn.com/fonts/_BentonSans/BentonSansBlack.woff2 → pending (?ms, ?B)
[2026-06-07T02:17:56.535Z] GET https://a.espncdn.com/fonts/_BentonSansCond/BentonSansCondBold.woff2 → pending (?ms, ?B)
[2026-06-07T02:17:56.536Z] GET https://a.espncdn.com/fonts/_PlayoffProCond/PlayoffProCondBold.woff2 → pending (?ms, ?B)
[2026-06-07T02:17:56.536Z] GET https://a.espncdn.com/fonts/_PlayoffProCond/PlayoffProCondBlack.woff2 → pending (?ms, ?B)
[2026-06-07T02:17:56.536Z] GET https://a.espncdn.com/fonts/_BentonSans/BentonSansBold.woff2 → pending (?ms, ?B)
[2026-06-07T02:17:56.536Z] GET https://a.espncdn.com/fonts/_BentonSans/BentonSansMedium.woff2 → pending (?ms, ?B)
[2026-06-07T02:17:56.536Z] GET https://a.espncdn.com/fonts/_BentonSans/BentonSansRegular.woff2 → pending (?ms, ?B)
[2026-06-07T02:17:56.536Z] GET https://a.espncdn.com/fonts/_Ignite/ESPNIgniteDisplay-CondensedHeavy-Web.woff2 → pending (?ms, ?B)
[2026-06-07T02:17:56.536Z] GET https://a.espncdn.com/fonts/_Ignite/ESPNIgniteText-Regular-Web.woff2 → pending (?ms, ?B)
[2026-06-07T02:17:56.536Z] GET https://a.espncdn.com/fonts/_Ignite/ESPNIgniteTextCondensed-Regular-Web.woff2 → pending (?ms, ?B)
[2026-06-07T02:17:56.536Z] GET https://a.espncdn.com/fonts/_Ignite/ESPNIgniteTextCondensed-Bold-Web.woff2 → pending (?ms, ?B)
[2026-06-07T02:17:56.536Z] GET https://cdn1.espn.net/fitt/43919cae0e28-release-06-02-2026.2.0.4833/client/espnfitt/runtime-5b7306cd.js → pending (?ms, ?B)
[2026-06-07T02:17:56.536Z] GET https://cdn1.espn.net/fitt/43919cae0e28-release-06-02-2026.2.0.4833/client/espnfitt/dmp-sdk-cbf49318.js → pending (?ms, ?B)
[2026-06-07T02:17:56.536Z] GET https://cdn1.espn.net/fitt/43919cae0e28-release-06-02-2026.2.0.4833/client/espnfitt/6185-08c0f755.js → pending (?ms, ?B)
[2026-06-07T02:17:56.537Z] GET https://cdn1.espn.net/fitt/43919cae0e28-release-06-02-2026.2.0.4833/client/espnfitt/1609-dac15037.js → pending (?ms, ?B)
[2026-06-07T02:17:56.537Z] GET https://cdn1.espn.net/fitt/43919cae0e28-release-06-02-2026.2.0.4833/client/espnfitt/9264-d288023b.js → pending (?ms, ?B)
[2026-06-07T02:17:56.537Z] GET https://cdn1.espn.net/fitt/43919cae0e28-release-06-02-2026.2.0.4833/client/espnfitt/394-c019a863.js → pending (?ms, ?B)
[2026-06-07T02:17:56.537Z] GET https://cdn1.espn.net/fitt/43919cae0e28-release-06-02-2026.2.0.4833/client/espnfitt/3866-debef506.js → pending (?ms, ?B)
[2026-06-07T02:17:56.537Z] GET https://cdn1.espn.net/fitt/43919cae0e28-release-06-02-2026.2.0.4833/client/espnfitt/1765-53c8f25a.js → pending (?ms, ?B)
[2026-06-07T02:17:56.537Z] GET https://cdn1.espn.net/fitt/43919cae0e28-release-06-02-2026.2.0.4833/client/espnfitt/149-d38c33d6.js → pending (?ms, ?B)
[2026-06-07T02:17:56.537Z] GET https://cdn1.espn.net/fitt/43919cae0e28-release-06-02-2026.2.0.4833/client/espnfitt/6845-f9662716.js → pending (?ms, ?B)
[2026-06-07T02:17:56.537Z] GET https://cdn1.espn.net/fitt/43919cae0e28-release-06-02-2026.2.0.4833/client/espnfitt/1029-124f7f39.js → pending (?ms, ?B)
[2026-06-07T02:17:56.537Z] GET https://cdn1.espn.net/fitt/43919cae0e28-release-06-02-2026.2.0.4833/client/espnfitt/9195-ac79fa8d.js → pending (?ms, ?B)
[2026-06-07T02:17:56.537Z] GET https://cdn1.espn.net/fitt/43919cae0e28-release-06-02-2026.2.0.4833/client/espnfitt/6746-79f4cb5e.js → pending (?ms, ?B)
[2026-06-07T02:17:56.537Z] GET https://cdn1.espn.net/fitt/43919cae0e28-release-06-02-2026.2.0.4833/client/espnfitt/821-0e469e43.js → pending (?ms, ?B)
[2026-06-07T02:17:56.537Z] GET https://cdn1.espn.net/fitt/43919cae0e28-release-06-02-2026.2.0.4833/client/espnfitt/2553-30c398b3.js → pending (?ms, ?B)
[2026-06-07T02:17:56.537Z] GET https://cdn1.espn.net/fitt/43919cae0e28-release-06-02-2026.2.0.4833/client/espnfitt/4714-ce84554c.js → pending (?ms, ?B)
[2026-06-07T02:17:56.738Z] GET https://cdn1.espn.net/fitt/43919cae0e28-release-06-02-2026.2.0.4833/client/espnfitt/_manifest.js → 200 (436ms, ?B)
[2026-06-07T02:17:56.738Z] GET https://cdn1.espn.net/fitt/43919cae0e28-release-06-02-2026.2.0.4833/client/espnfitt/espn-en-0193295f.js → 200 (437ms, ?B)
